removed_node,node_type,criticality_score,component_increase,reachability_loss,affected_nodes_count,affected_nodes
App10,Application,0.049239464472184455,0,0.12295081967213115,0,set()
App13,Application,0.029582295448872913,0,0.0860655737704918,0,set()
App20,Application,0.03672264585717247,0,0.06762295081967214,0,set()
App12,Application,0.03215266164637194,0,0.06762295081967214,0,set()
App14,Application,0.030635710117175505,0,0.06762295081967214,0,set()
App5,Application,0.028859613198221445,0,0.06762295081967214,0,set()
App11,Application,0.028586918545934953,0,0.06762295081967214,0,set()
App18,Application,0.026739555478163726,0,0.06762295081967214,0,set()
App9,Application,0.024234413001592674,0,0.06762295081967214,0,set()
App19,Application,0.020470753078749078,0,0.06762295081967214,0,set()
